CompanyName,EmailAddress,Phone,StreetAddress,City
Gold Coast Ambulance Service,,(805) 485-1231,625 N A St,"Oxnard, CA 93030"
Atlas Rescues,,(818) 452-2424,6290 Hollywood Blvd,"Los Angeles, CA 90028"
Creative Fiber Solutions,,(805) 983-4871,1505 E Ventura Blvd,"Oxnard, CA 93036"
Dependable Care Ambulance,,(323) 851-3791,7533 Lexington Ave,"West Hollywood, CA 90046"
Medreach Ambulance Service,,(323) 934-5671,2370 S Curson Ave,"Los Angeles, CA 90016"
Hatzoloh of La,,(323) 931-4340,7011 Clinton St,"Los Angeles, CA 90036"
Westmed Ambulance,,(323) 745-0540,750 N Highland Ave,"Los Angeles, CA 90038"
Gold Coast Ambulance,,(805) 228-5479,2675 N Ventura Rd,"Port Hueneme, CA 93041"
Ems,,(661) 250-9967,18549 Soledad Canyon Rd,"Canyon Country, CA 91351"
Reds Animal Rescue,,(818) 823-0566,444 W Valencia Ave,"Burbank, CA 91506"
Caretrans,,(818) 662-0220,1754 Victory Blvd,"Glendale, CA 91201"
Air Ambulance,,(323) 221-7510,Los Angeles Intl Airport,"Los Angeles, CA 90045"
Quality 1 Care Ambulance,,(310) 337-0600,977 W Hyde Park Blvd,"Inglewood, CA 90302"
Gentle Ride Ambulance,,(818) 500-1100,715 Ruberta Ave,"Glendale, CA 91201"
PRN Ambulance,,(818) 844-2775,532 Riverdale Dr,"Glendale, CA 91204"
Universal Paramedic Svc,,(213) 383-7448,3700 Wilshire Blvd,"Los Angeles, CA 90010"
Care Ambulance Service,,(818) 551-9600,526 Commercial St,"Glendale, CA 91203"
McCormick Ambulance,,(310) 798-3300,240 S Sepulveda Blvd,"Manhattan Beach, CA 90266"
Huntington Ambulance,,(562) 904-1550,1050 S Prairie Ave,"Inglewood, CA 90301"
Aegis Ambulance Service,,(818) 240-9590,1316 Winchester Ave,"Glendale, CA 91201"
Verihealth Southern California,,(818) 638-8886,526 Commercial St,"Glendale, CA 91203"
Chinello & Mandell,,(818) 543-1150,411 N Central Ave Ste 200,"Glendale, CA 91203"
Medtrans Ambulance Service,,(661) 808-2100,Glendale,"Glendale, CA 91207"
McCormick Ambulance,,(310) 798-3300,12615 Crenshaw Blvd,"Hawthorne, CA 90250"
United Air And Ground Ambulance,,(310) 672-9100,510 N La Brea Ave,"Inglewood, CA 90302"
Metro Valley Ambulance,,(818) 242-2872,4561 Colorado Blvd,"Los Angeles, CA 90039"
E Z Trans,,(818) 567-2300,124 S Orange St,"Glendale, CA 91204"
Trans Aid Non Emergency Med,,(818) 242-1155,815 S Central Ave,"Glendale, CA 91204"
Med-Life Ambulance Service,,(818) 242-1785,4304 Alger St,"Los Angeles, CA 90039"
AMC Door to Door Car Shipping,,(213) 477-1148,1111 S Figueroa St,"Los Angeles, CA 90015"
