CompanyName,emailAddress,link,phone,streetAddress,city
Medical Transport Services,,https://www.yellowpages.com/nationwide/mip/medical-transport-services-532407392?lid=1001809830978,(727) 201-1717,-,-
Medlink Medical Transportation Corp,,https://www.yellowpages.com/santa-ana-ca/mip/medlink-medical-transportation-corp-488297242,(714) 540-9031,3739 S Plaza Dr,"Santa Ana, CA 92704"
American Medical Response,,https://www.yellowpages.com/corona-ca/mip/american-medical-response-453672258,(951) 808-2100,1434 Kellogg Ave,"Corona, CA 92879"
MedLine Ambulance,,https://www.yellowpages.com/orange-ca/mip/medline-ambulance-473599525,(714) 770-8770,2328 N Batavia St,"Orange, CA 92865"
Mid-Cities Medical Transport,,https://www.yellowpages.com/anaheim-ca/mip/mid-cities-medical-transport-465192570,(714) 238-9005,1325 N Red Gum St Ste 14,"Anaheim, CA 92806"
American Paramedics,,https://www.yellowpages.com/irvine-ca/mip/american-paramedics-462069555,(949) 465-9923,25 Mauchly Ste 313,"Irvine, CA 92618"
"T&M Assisted Transportation, Inc.",,https://www.yellowpages.com/irvine-ca/mip/t-m-assisted-transportation-inc-495421442,(800) 715-8522,-,"Irvine, CA 92614"
Schaefer Ambulance Service,,https://www.yellowpages.com/santa-ana-ca/mip/schaefer-ambulance-service-788581,(714) 545-8436,-,"Santa Ana, CA 92704"
S & E Transportation,,https://www.yellowpages.com/lake-forest-ca/mip/s-e-transportation-9289592,(800) 215-0588,26224 Enterprise Ct,"Lake Forest, CA 92630"
Pacific Ambulance,,https://www.yellowpages.com/lake-forest-ca/mip/pacific-ambulance-463274561,(949) 470-2355,23942 Mcwhorter Way,"Lake Forest, CA 92630"
Doctor's Ambulance Service,,https://www.yellowpages.com/laguna-hills-ca/mip/doctors-ambulance-service-11937873,(949) 951-6600,23091 Terra Dr,"Laguna Hills, CA 92653"
Medix Ambulance Service Inc,,https://www.yellowpages.com/mission-viejo-ca/mip/medix-ambulance-service-inc-5240370,(714) 731-3835,26021 Pala,"Mission Viejo, CA 92691"
Pacific Ambulance,,https://www.yellowpages.com/mission-viejo-ca/mip/pacific-ambulance-513205491,(949) 347-0588,27800 Medical Center Rd,"Mission Viejo, CA 92691"
On Time Med Trans,,https://www.yellowpages.com/santa-ana-ca/mip/on-time-med-trans-453539430,(714) 540-9031,3739 S Plaza Dr,"Santa Ana, CA 92704"
Schaefer Ambulance Service,,https://www.yellowpages.com/santa-ana-ca/mip/schaefer-ambulance-service-467658021,(714) 545-8486,2215 S Bristol St,"Santa Ana, CA 92704"
Newport Center Surgical,,https://www.yellowpages.com/newport-beach-ca/mip/newport-center-surgical-8804059,(949) 706-6300,17 Corporate Plaza Dr Ste 120,"Newport Beach, CA 92660"
Mission Ambulance,,https://www.yellowpages.com/corona-ca/mip/mission-ambulance-69373,(951) 272-2300,1055 E 3rd St,"Corona, CA 92879"
American Med Ambulance Services,,https://www.yellowpages.com/santa-ana-ca/mip/american-med-ambulance-services-480264719,(714) 710-8888,3750 W Warner Ave,"Santa Ana, CA 92704"
Shoreline EMS,,https://www.yellowpages.com/huntington-beach-ca/mip/shoreline-ems-591374,(714) 847-9107,17762 Metzler Ln,"Huntington Beach, CA 92647"
Care Ambulance,,https://www.yellowpages.com/costa-mesa-ca/mip/care-ambulance-14910757,(949) 722-8113,2131 Placentia Ave,"Costa Mesa, CA 92627"
Care Ambulance Service,,https://www.yellowpages.com/fountain-valley-ca/mip/care-ambulance-service-548538080,(714) 288-3800,18287 Mount Baldy Cir,"Fountain Valley, CA 92708"
West Regional Surgeons,,https://www.yellowpages.com/anaheim-ca/mip/west-regional-surgeons-542516014,(714) 777-1017,5475 E La Palma Ave,"Anaheim, CA 92807"
Lynch Ambulane,,https://www.yellowpages.com/anaheim-ca/mip/lynch-ambulane-505235587,(714) 632-1046,13171 N Red Gum St,"Anaheim, CA 92806"
Life Fleet,,https://www.yellowpages.com/anaheim-ca/mip/life-fleet-496489629,(957) 341-2100,1072 N Kraemer Pl,"Anaheim, CA 92806"
Medcoast Ambulance Service,,https://www.yellowpages.com/huntington-beach-ca/mip/medcoast-ambulance-service-18813177,(714) 960-9477,8254 Atlanta Ave,"Huntington Beach, CA 92646"
Symons Emergency Specialities,,https://www.yellowpages.com/corona-ca/mip/symons-emergency-specialities-542413102,(951) 549-7901,3115 Palisades Dr,"Corona, CA 92880"
Horizon Ambulance,,https://www.yellowpages.com/placentia-ca/mip/horizon-ambulance-530437870,(714) 630-2486,1051 Cypress St,"Placentia, CA 92870"
Shoreline Ambulance,,https://www.yellowpages.com/huntington-beach-ca/mip/shoreline-ambulance-545313829,(855) 474-6735,17762 Metzler Ln,"Huntington Beach, CA 92647"
Shoreline Ambulance Company,,https://www.yellowpages.com/huntington-beach-ca/mip/shoreline-ambulance-company-535394784,(714) 847-9107,17762 Gothard St,"Huntington Beach, CA 92647"
Americare Ambulance,,https://www.yellowpages.com/huntington-beach-ca/mip/americare-ambulance-31048190,(310) 835-9390,6861 Hitchingpost Cir,"Huntington Beach, CA 92648"
Medical Transport Services,,https://www.yellowpages.com/nationwide/mip/medical-transport-services-532407392?lid=1001809830978,(727) 201-1717,-,-
